Iteration,N-Estimators,Criterion,MSE
1,100,squared_error,0.013162626758202504
2,100,friedman_mse,0.013072596145020442
3,100,poisson,0.01330585576944311
4,150,squared_error,0.013148569983686003
5,150,friedman_mse,0.013081894903703517
6,150,poisson,0.013268768011170167
7,200,squared_error,0.013101110821133893
8,200,friedman_mse,0.013070884638130288
9,200,poisson,0.013291312475605218
10,250,squared_error,0.013105856707280587
11,250,friedman_mse,0.01312067537529906
12,250,poisson,0.013315500787365129
