Iteration,C,Epsilon,Kernel,MSE
1,0.001,0.001,linear,0.008587687777964002
2,0.001,0.001,poly,0.17204664092079922
3,0.001,0.001,rbf,0.11414356274969566
4,0.001,0.01,linear,0.008628097216677854
5,0.001,0.01,poly,0.17195035978153075
6,0.001,0.01,rbf,0.11420162163710654
7,0.001,0.1,linear,0.010843583077979948
8,0.001,0.1,poly,0.17278155115896152
9,0.001,0.1,rbf,0.11698266272382672
10,0.001,1.0,linear,0.2559987442371735
11,0.001,1.0,poly,0.28348380804482626
12,0.001,1.0,rbf,0.26755562080388845
13,0.01,0.001,linear,0.006372411431986088
14,0.01,0.001,poly,0.08614504823271273
15,0.01,0.001,rbf,0.027493935680686026
16,0.01,0.01,linear,0.006319446882535324
17,0.01,0.01,poly,0.08614005761826808
18,0.01,0.01,rbf,0.02769762791063674
19,0.01,0.1,linear,0.006456096825167654
20,0.01,0.1,poly,0.08768327463198684
21,0.01,0.1,rbf,0.030968565081402222
22,0.01,1.0,linear,0.2736338542948196
23,0.01,1.0,poly,0.2849588879601715
24,0.01,1.0,rbf,0.24448454450057533
25,0.1,0.001,linear,0.006333341573985923
26,0.1,0.001,poly,0.03218244851962148
27,0.1,0.001,rbf,0.008504488322447391
28,0.1,0.01,linear,0.006317659584716051
29,0.1,0.01,poly,0.03225586979647062
30,0.1,0.01,rbf,0.008546270173510789
31,0.1,0.1,linear,0.006398725611884088
32,0.1,0.1,poly,0.035857274115153895
33,0.1,0.1,rbf,0.010725640869433086
34,0.1,1.0,linear,0.27450499263860645
35,0.1,1.0,poly,0.26430756940933947
36,0.1,1.0,rbf,0.2416088436300855
37,1.0,0.001,linear,0.006337188065053957
38,1.0,0.001,poly,0.021284617946134954
39,1.0,0.001,rbf,0.006950481189578055
40,1.0,0.01,linear,0.006321702838304716
41,1.0,0.01,poly,0.021393309108110013
42,1.0,0.01,rbf,0.006979554252654246
43,1.0,0.1,linear,0.00646269662544671
44,1.0,0.1,poly,0.02476112787493226
45,1.0,0.1,rbf,0.008806270099733447
46,1.0,1.0,linear,0.27450499263860645
47,1.0,1.0,poly,0.2718681280809954
48,1.0,1.0,rbf,0.2491250547161264
